owner,token_id,listed,price,expired
stars1j6yw6aldlctpaz2na3awsnexle3a8k6z8x9744,1091,false,0,false
stars1v6eyyvqltyyn28vcx5wrv5artueq6atz63u273,1065,false,0,false
stars1thvncfatxukryyceuqxh5fzvxa57sj7q6530t3,103,false,0,false
stars1r70dgasakttj7c9z2yx22ss42tef7czt0hek7p,1050,false,0,false
stars1y573wwtlw47tj0flkwhphhgrpufgptxfyvqrfm,1067,false,0,false
stars1u2j6t46ptgtrjyfn0v5k70u429kpzkl2j0dwz6,1017,false,0,false
stars17fvj54vszd55sxgccu942ckpkdv3vxwf4mdu5e,1080,false,0,false
stars1wxvu0t256369tl3gm3g7wc05qjd8wvd8y647yw,1043,false,0,false
stars19sxaddfl8yvua6asf3gs8dszwvsemyj804wnlp,1014,false,0,false
stars1guger5vlqy5r8yhy29ay62aqspslex5esphc89,1044,false,0,false
stars1gdw2v7cuqdm2pyzcc882cmqflhe952tcwhze93,1047,false,0,false
stars1lfx5twrgkj9at99n5pgeznn57zjza4n5a8uzc7,1004,false,0,false
stars1c0q7xhs8l769c37ygxeyhj6m9yj4j9yzqxa9ru,1046,false,0,false
stars17phxu296xu5u2dvp66pyuxs257peyxpjm6vyd4,1009,true,19000000000,false
stars1mlmqjjqxud9f2z8k23ygqv37a2v4n38d9ge8e9,1104,false,0,false
stars1twaqkw5fje0xj5z4jxvft6hsd2gxwfk69x2c5n,1098,true,18888000000,false
stars1gm5drmc3zufv5yayusm0rsr0a5vhp3tx2wfenp,1,false,0,false
stars1l0f2ckdsx07jnxcy3ucq5x3fw6ttnrgjlwyma3,1077,true,1177000000,false
stars19sxaddfl8yvua6asf3gs8dszwvsemyj804wnlp,1025,false,0,false
stars1r020k5d5p9sc2ytpa38dt56vup8m42yajfgs3a,1083,false,0,false
stars19sxaddfl8yvua6asf3gs8dszwvsemyj804wnlp,1019,true,1699000000,false
stars19p74u3qm6v980n5wwwr8wkfwlvljj0m09qt4cj,1042,false,0,false
stars1jk8wdg4lyjkpf9ly8c76j8mx99h76503k0nuyj,1041,false,0,false
stars1f4tfssdyvjuutm4s8w770nhek2f6f7yvt4e78p,1035,false,0,false
stars1dlyccvmvcewd2mahhs5n69n3ves4ldtlcu3jcv,11,false,0,false
stars1qur9zxas008j8hjgqk0qehq0l3uf6y3mvz6ef0,1082,true,27000000000,false
stars1gct8lxs2560nhtg3kapj25wzky59jeljr46c30,1031,false,0,false
stars13g9aza50mtj8urmgadqr26678ppt29prmqe5y8,1102,false,0,false
stars1g52j4hug5n8n8nhjmuv624e5dwdq4plu4kp4qn,1054,false,0,false
stars19e4wqyvhecq7ze0s42kcdsy034a6ue7n44kml9,1084,false,0,false
stars10hncce2cs2hlv7l4djw4syhx0sevdz9257tsh5,1117,false,0,false
stars1udhtf5w3lsauvefa65mtsmrthcj388usnqvhls,1147,true,10000000000,false
stars1dqxyc2pzmwrw0v6e8nf9alsz9d42ffq9686gvr,1146,true,7000000000,false
